fecha;vol_corregido;vol_dia;flujo_corregido;presion;temperatura
2025-02-10 17:32:21.730;0;0;0;0;0
2025-02-10 17:38:53.510;1889842;1886216;530,8;20,7;31,8
2025-02-10 18:00:02.963;1890030;1886216;539,2;20,5;32,3
2025-02-10 18:30:02.403;1890294;1886216;518,1;20,6;33
2025-02-10 19:00:02.310;1890561;1886216;522,8;20,6;33
2025-02-10 19:30:02.660;1890824;1886216;547,7;20,5;32,8
2025-02-10 20:00:01.990;1891094;1886216;526,9;20,7;32,3
2025-02-10 20:30:02.147;1891353;1886216;528,2;20,6;31
2025-02-10 21:00:02.810;1891615;1886216;517,9;20,6;29,7
2025-02-10 21:30:11.563;1891874;1886216;515,2;20,4;28,4
2025-02-10 23:30:02.857;1892902;1886216;534,4;20,6;25,2
2025-02-11 00:00:03.157;1893153;1886216;512,9;20,5;24,8
2025-02-11 00:30:02.740;1893425;1886216;559,9;20,5;24,3
2025-02-11 02:30:02.780;1894547;1886216;589;20,6;24,6
2025-02-11 05:30:03.000;1896306;1886216;585,6;20,6;23,4
2025-02-11 06:00:02.987;1896598;1886216;596,7;20,5;23,3
2025-02-11 06:30:02.900;1896901;1886216;619,4;20,6;23,1
2025-02-11 07:00:03.087;1897197;1886216;574,4;20,6;23
2025-02-11 09:30:02.963;1898700;1886216;601,5;20,5;22,1
2025-02-11 10:30:03.523;1899310;1886216;622,8;20,4;22
2025-02-11 11:00:02.960;1899626;1886216;629,6;20,5;21,8
2025-02-11 11:30:02.473;1899933;1899630;594,3;20,5;21,6
2025-02-11 12:00:02.513;1900233;1899630;593,5;20,5;21,8
2025-02-11 12:30:01.810;1900519;1899630;566,9;20,6;21,9
2025-02-11 14:30:01.870;1901609;1899630;515,1;20,6;23,4
2025-02-11 15:00:02.067;1901880;1899630;552,7;20,5;23,9
2025-02-11 16:30:01.810;1902671;1899630;542,9;20,6;24,5
2025-02-11 17:00:02.107;1902954;1899630;587,1;20,5;25,2
2025-02-11 18:30:02.083;1903801;1899630;552,7;20,5;25,7
2025-02-11 19:00:02.397;1904081;1899630;556,2;20,5;26,1
2025-02-11 20:30:03.270;1904876;1899630;522,3;20,5;26,4
2025-02-11 21:30:02.127;1905406;1899630;528,8;20,5;26,1
2025-02-11 23:00:01.770;1906203;1899630;535,6;20,5;25,5
2025-02-11 23:30:02.030;1906471;1899630;544,4;20,5;24,7
2025-02-12 00:00:02.153;1906743;1899630;518;20,6;24,2
2025-02-12 00:30:02.367;1907003;1899630;533,3;20,6;23,6
2025-02-12 03:30:02.360;1908617;1899630;531,4;20,7;21,4
2025-02-12 05:00:02.450;1909423;1899630;516,5;20,7;20,7
2025-02-12 06:30:02.187;1910229;1899630;526,6;20,7;20,4
2025-02-12 07:00:02.410;1910492;1899630;509,8;20,7;20,5
2025-02-12 08:00:01.713;1911015;1899630;515,5;20,7;20,4
2025-02-12 08:30:01.970;1911278;1899630;525,1;20,7;20,4
2025-02-12 09:30:02.223;1911799;1899630;511,4;20,7;20,3
2025-02-12 10:30:02.520;1912325;1899630;521,7;20,7;20
2025-02-12 11:00:02.737;1912591;1899630;532,8;20,7;19,9
2025-02-12 11:30:01.933;1912858;1912595;537,6;20,8;19,6
2025-02-12 12:30:02.170;1913388;1912595;530,8;20,7;19,5
2025-02-12 13:00:02.383;1913658;1912595;534,2;20,7;19,8
2025-02-12 13:30:02.660;1913930;1912595;553,3;20,7;20,4
2025-02-12 15:00:03.263;1914735;1912595;540;20,6;22
2025-02-12 15:30:03.160;1915002;1912595;554,4;20,6;23,2
2025-02-12 17:00:02.520;1915868;1912595;583,7;20,5;27,8
2025-02-12 19:30:02.627;1917350;1912595;575,7;20,5;26,5
2025-02-12 20:30:02.440;1917927;1912595;556,2;20,6;26,3
2025-02-12 21:00:02.563;1918215;1912595;588;20,4;26,6
2025-02-12 22:00:03.033;1918803;1912595;585;20,5;26,5
2025-02-12 22:30:02.907;1919087;1912595;565,9;20,5;26,5
2025-02-12 23:00:02.923;1919382;1912595;594,6;20,5;25,9
2025-02-13 00:00:02.413;1919958;1912595;584,3;20,5;25,3
2025-02-13 00:30:02.600;1920247;1912595;584,2;20,5;24,9
2025-02-13 01:00:02.850;1920541;1912595;591,2;20,5;24,2
2025-02-13 01:30:03.023;1920837;1912595;584,9;20,6;23,7
2025-02-13 03:30:03.050;1921990;1912595;568,7;20,6;22,8
2025-02-13 04:00:02.667;1922282;1912595;596,1;20,6;22,6
2025-02-13 04:30:02.710;1922574;1912595;572,5;20,7;22,4
2025-02-13 05:30:03.017;1923154;1912595;572,9;20,7;22,3
2025-02-13 08:00:03.017;1924586;1912595;578;20,7;21,8
2025-02-13 11:00:02.200;1925928;1912595;564,8;20,9;21,6
2025-02-13 12:00:02.273;1925928;1912595;564,8;20,9;21,6
2025-02-13 13:00:02.200;1925928;1912595;564,8;20,9;21,6
2025-02-13 13:30:02.077;1925928;1912595;564,8;20,9;21,6
2025-02-13 14:00:02.603;1927600;1926208;591,8;20,9;23,9
2025-02-13 14:30:03.220;1927886;1926208;557,3;20,9;24,4
2025-02-13 15:30:03.283;1928450;1926208;555,9;20,8;26,8
2025-02-13 16:00:02.660;1928729;1926208;551,6;20,9;27,5
2025-02-13 16:30:03.163;1929003;1926208;538,4;20,9;28
2025-02-13 17:30:03.023;1929546;1926208;549,6;20,7;28,1
2025-02-13 21:00:01.850;1931445;1926208;536,8;20,7;31,5
2025-02-13 21:30:02.267;1931716;1926208;567,5;20,6;30,4
2025-02-14 00:00:02.270;1933086;1926208;537,8;20,7;26,2
2025-02-14 00:30:02.670;1933354;1926208;547,9;20,7;25,2
2025-02-14 01:30:06.103;1933921;1926208;552,4;20,8;23,3
2025-02-14 02:00:02.503;1934201;1926208;598,1;20,7;22,9
2025-02-14 03:00:02.393;1934781;1926208;568,8;20,9;22,3
2025-02-14 03:30:01.853;1935066;1926208;569,3;20,8;22,1
2025-02-14 04:00:02.247;1935355;1926208;574,4;20,9;22,2
2025-02-14 04:30:02.640;1935639;1926208;589,9;20,8;21,9
2025-02-14 05:00:02.103;1935927;1926208;559,3;20,9;21,9
2025-02-14 06:00:01.910;1936490;1926208;556,2;20,9;21,8
2025-02-14 06:30:02.360;1936779;1926208;580,4;20,8;21,7
2025-02-14 07:30:02.130;1937358;1926208;573,4;20,8;21,5
2025-02-14 08:30:01.907;1937917;1926208;562,2;20,8;21,5
2025-02-14 09:00:02.250;1938201;1926208;570,9;20,9;21,5
2025-02-14 10:00:02.110;1938780;1926208;565,7;21;21,3
2025-02-14 10:30:02.507;1939079;1926208;608,4;20,8;21,3
2025-02-14 11:00:01.887;1939371;1926208;569,6;20,8;21,2
2025-02-14 12:30:02.073;1940228;1939374;572,9;20,7;21,5
2025-02-14 14:00:02.453;1941083;1939374;547,2;20,9;22,3
2025-02-14 15:00:02.510;1941646;1939374;571,9;20,8;22,8
2025-02-14 15:30:02.053;1941924;1939374;567,9;20,8;22,9
2025-02-14 16:00:02.413;1942213;1939374;574;20,8;23,6
2025-02-14 18:00:02.363;1943316;1939374;560;20,7;27,2
2025-02-14 20:00:02.180;1944425;1939374;558,4;20,6;29,8
2025-02-14 22:00:01.777;1945583;1939374;594,6;20,7;29
2025-02-14 23:00:02.573;1946180;1939374;599,6;20,7;27,6
2025-02-15 02:30:02.280;1948300;1939374;609,1;20,5;23,9
2025-02-15 04:00:02.387;1949209;1939374;616,5;20,7;22,5
2025-02-15 04:30:01.770;1949520;1939374;630,8;20,6;22,2
2025-02-15 09:30:02.227;1952596;1939374;598,5;20,6;21,6
2025-02-15 11:30:03.520;1953852;1953536;629,8;20,6;21
2025-02-15 12:00:01.967;1954165;1953536;609,4;20,5;20,6
2025-02-15 12:30:02.620;1954472;1953536;607,2;20,5;20,5
2025-02-15 13:30:02.253;1955090;1953536;610,2;20,5;22,1
2025-02-15 14:00:02.713;1955397;1953536;620,7;20,6;23,4
2025-02-15 15:30:02.073;1956310;1953536;614,6;20,5;26,3
2025-02-15 16:00:02.437;1956620;1953536;625,4;20,5;27,7
